Файлы,Описание
PG_VERSION,"Файл, содержащий номер основной версии PostgreSQL"
pg_hba.conf,"Файл, управляющий аутентификацией клиента"
pg_ident.conf,"Файл, управляющий сопоставлением имен пользователей PostgreSQL."
postgresql.conf,"Файл, используемый для установки параметров конфигурации."
postgresql.auto.conf,"Файл, используемый для хранения параметров конфигурации, которые устанавливаются при помощи ALTER SYSTEM"
postmaster.opts,"Файл, содержащий параметры командной строки, с которыми сервер был запущен в последний раз"
